FIPS,State,County,Climate Region,MEDHINC16,GROCPTH16,CONVSPTH16,SUPERCPTH16,PCT_OBESE_ADULTS17,RECFACPTH16,largest_group,FFRPTH16,FSRPTH16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
23023,ME,Sagadahoc,Northeast,59271.0,0.199242877,0.569265363,0.0,29.1,0.142316341,white_not_hispanic_2017,0.626191899,0.939287849,5.496262690119371,30.43769290840801,26.70038302777881
48447,TX,Throckmorton,South,42876.0,0.645994832,0.645994832,0.0,33.0,0.0,white_not_hispanic_2017,0.0,1.937984496,13.02717900656045,37.39456419868791,27.27272727272727
20067,KS,Grant,South,58620.0,0.130123617,0.260247235,0.0,32.4,0.0,white_not_hispanic_2017,0.650618087,1.040988939,19.68036529680365,28.83561643835617,30.93607305936073
38081,ND,Sargent,Northern Rockies and Plains,59464.0,0.514138817,0.514138817,0.0,33.2,0.0,white_not_hispanic_2017,0.257069409,0.0,6.062717770034843,36.13240418118467,39.23344947735192
1111,AL,Randolph,Southeast,40283.0,0.133345186,0.888967908,0.0444484,36.3,0.0,white_not_hispanic_2017,0.444483954,0.311138768,18.07665853811042,35.38423060088789,29.43787907209404
13261,GA,Sumter,Southeast,35764.0,0.197661011,1.054192061,0.0329435,31.6,0.065887004,white_not_hispanic_2017,0.724757042,0.560039532,15.84913656107639,35.4327788960695,28.75304587350355
36051,NY,Livingston,Northeast,54256.0,0.202485904,0.591881873,0.0155758,25.7,0.12460671,white_not_hispanic_2017,0.74764026,0.825519454,8.249142427517505,32.35045345613458,31.86880315774635
21149,KY,McLean,Ohio Valley,43656.0,0.321130379,0.856347677,0.0,34.3,0.0,white_not_hispanic_2017,0.749304218,0.535217298,11.37780548628429,40.5860349127182,33.4788029925187
48193,TX,Hamilton,South,45718.0,0.242983842,0.971935366,0.0,33.0,0.0,white_not_hispanic_2017,0.971935366,0.607459604,12.89835625628984,35.5249916135525,31.01308285810131
35003,NM,Catron,Southwest,34868.0,0.566251416,1.415628539,0.0,28.4,0.0,white_not_hispanic_2017,0.0,0.566251416,7.312806158152554,41.98740377886634,34.04478656403079
35009,NM,Curry,Southwest,43450.0,0.099665125,0.438526551,0.019933,28.4,0.179397225,white_not_hispanic_2017,0.637856801,0.518258651,19.0562018679338,25.80370309683762,34.92053088644928
19195,IA,Worth,Upper Midwest,54628.0,0.267558528,0.668896321,0.0,36.4,0.0,white_not_hispanic_2017,0.267558528,0.535117057,6.644144144144144,38.3445945945946,36.78678678678678
19087,IA,Henry,Upper Midwest,50684.0,0.101005,0.555527499,0.0505025,36.4,0.101005,white_not_hispanic_2017,0.454522499,1.060552497,7.454558834351313,36.24254912061226,33.78467878431084
40021,OK,Cherokee,South,36297.0,0.164099198,0.492297594,0.0205124,36.5,0.0205124,white_not_hispanic_2017,0.451272794,0.635884392,12.48502121320076,31.31133205946173,28.72040677526962
29175,MO,Randolph,Ohio Valley,43386.0,0.160192231,0.400480577,0.0400481,32.5,0.080096115,white_not_hispanic_2017,0.52062475,0.800961153,11.42907200840974,36.87437948957542,33.75576709688723
5017,AR,Chicot,South,29527.0,0.366568915,0.824780059,0.0,35.0,0.0,white_not_hispanic_2017,0.458211144,0.183284457,21.80894866867966,37.83969256107603,25.70683502607741
28081,MS,Lee,South,43834.0,0.188643652,0.825315978,0.0353707,37.3,0.106112054,white_not_hispanic_2017,0.896057348,0.931428032,14.67931902607348,26.49249132937801,31.9237337370821
29171,MO,Putnam,Ohio Valley,40150.0,0.413992962,0.620989443,0.0,32.5,0.0,white_not_hispanic_2017,0.206996481,0.620989443,7.187593200119297,43.69221592603639,28.72054876230242
21083,KY,Graves,Ohio Valley,41705.0,0.134596748,0.511467643,0.0269193,34.3,0.0538387,white_not_hispanic_2017,0.484548293,0.619145041,11.31171113596421,42.12733663524525,30.06071257389359
55029,WI,Door,Upper Midwest,56298.0,0.438788943,0.84101214,0.0365657,32.0,0.109697236,white_not_hispanic_2017,0.767880649,3.400614305,4.424410540915395,30.32362459546925,30.54091539528433
54027,WV,Hampshire,Ohio Valley,45172.0,0.128518185,0.385554556,0.0,38.1,0.0428394,white_not_hispanic_2017,0.299875766,0.514072741,13.23426979335965,47.78848386347806,26.68911074994195
39065,OH,Hardin,Ohio Valley,46969.0,0.159200178,0.573120642,0.03184,33.8,0.063680071,white_not_hispanic_2017,0.477600535,0.541280606,9.846090065813339,49.03352852775043,25.11271182049023
48311,TX,McMullen,South,67249.0,0.0,3.680981595,0.0,33.0,0.0,hispanic_2017,0.0,2.45398773,11.08695652173913,45.65217391304348,28.47826086956522
35059,NM,Union,Southwest,37787.0,0.240789791,0.481579581,0.0,28.4,0.0,white_not_hispanic_2017,0.481579581,1.203948953,16.09427609427609,44.24242424242424,27.2053872053872
51131,VA,Northampton,Southeast,39348.0,0.166583375,1.082791937,0.0,30.1,0.083291687,white_not_hispanic_2017,0.749625187,0.99950025,14.87103401049989,34.2273453549418,24.75462223236704
38101,ND,Ward,Northern Rockies and Plains,61089.0,0.114036463,0.413382179,0.0142546,33.2,0.099781905,white_not_hispanic_2017,0.698473337,0.669964221,5.470439383482862,30.96848401196227,34.51575799401886
37009,NC,Ashe,Southeast,39709.0,0.149510354,0.635419003,0.0373776,32.1,0.0373776,white_not_hispanic_2017,0.71017418,0.859684533,13.66661808288393,31.21022202788709,35.08720789000632
17077,IL,Jackson,Ohio Valley,34982.0,0.220219542,0.372679225,0.0338799,31.1,0.101639789,white_not_hispanic_2017,0.74535845,0.846998238,7.356018691052949,24.3241693661669,32.78101080755669
6101,CA,Sutter,West,51283.0,0.218617918,0.416415083,0.0208208,25.1,0.083283017,white_not_hispanic_2017,0.614212247,0.562160361,20.17057163691703,23.03034146032148,36.7680162328398
51640,VA,Galax,Southeast,35221.0,0.600240096,1.50060024,0.150060024,30.1,0.0,white_not_hispanic_2017,2.25090036,2.551020408,24.55254703992657,27.67324460761817,30.65626434144103
19157,IA,Poweshiek,Upper Midwest,52408.0,0.328012246,0.601355784,0.0546687,36.4,0.109337415,white_not_hispanic_2017,0.601355784,1.093374153,6.246872393661384,38.51542952460384,27.18098415346122
21101,KY,Henderson,Ohio Valley,46936.0,0.151370989,0.605483955,0.0216244,34.3,0.064873281,white_not_hispanic_2017,0.691981662,0.605483955,13.01232084485793,37.21712345989439,31.54387729444305
22007,LA,Assumption,South,45847.0,0.175785542,0.527356625,0.0,36.2,0.0,white_not_hispanic_2017,0.307624698,0.087892771,24.3248481715984,40.56079596847138,22.25739759658871
48175,TX,Goliad,South,55264.0,0.132961042,0.53184417,0.0,33.0,0.0,white_not_hispanic_2017,0.398883127,0.797766254,17.73893640758646,25.17664559315731,41.14912606917069
21189,KY,Owsley,Ohio Valley,23115.0,0.0,0.889877642,0.0,34.3,0.0,white_not_hispanic_2017,0.22246941,0.0,30.88328075709779,39.36908517350158,15.26813880126183
31003,NE,Antelope,Northern Rockies and Plains,48799.0,0.786658276,0.943989931,0.0,32.8,0.0,white_not_hispanic_2017,0.786658276,0.786658276,8.037554385161439,34.37142202885276,39.54659949622166
29163,MO,Pike,Ohio Valley,43617.0,0.108084738,0.540423692,0.0540424,32.5,0.108084738,white_not_hispanic_2017,0.486381323,0.864677907,13.28354651624692,51.00500516405816,20.71184555493763
39061,OH,Hamilton,Ohio Valley,53344.0,0.211088439,0.397488171,0.0172821,33.8,0.134553449,white_not_hispanic_2017,0.846822625,0.881386814,8.225021964187054,25.75724365302924,27.13469254666824
