FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20
22103,LA,St. Tammany,South,65861.0,38,110,7,36.2,33,white_not_hispanic_2017,190,226,9.5112591004007,25.18539420960551,31.02771036740222
12051,FL,Hendry,Southeast,39911.0,10,27,2,28.4,3,hispanic_2017,21,19,30.91966966966967,33.57732732732732,27.28228228228228
42101,PA,Philadelphia,Northeast,41514.0,679,474,5,31.6,119,white_not_hispanic_2017,1427,1150,14.26096501561976,31.79233158055703,22.71365252895962
48277,TX,Lamar,South,41887.0,4,34,1,33.0,7,white_not_hispanic_2017,38,43,13.92627267407841,33.47864248098303,33.85313048566413
34021,NJ,Mercer,Northeast,76988.0,118,90,3,27.3,51,white_not_hispanic_2017,299,284,10.37563697154021,25.39668472678201,20.69648935527402
51600,VA,Fairfax,Southeast,94701.0,18,18,1,30.1,17,white_not_hispanic_2017,81,92,7.424043920394285,13.40071121093019,18.88452180422983
37089,NC,Henderson,Southeast,53638.0,22,41,2,32.1,12,white_not_hispanic_2017,65,76,8.56167936643342,25.77726030871385,34.13028692634904
18105,IN,Monroe,Ohio Valley,44442.0,20,47,2,33.6,13,white_not_hispanic_2017,107,125,6.974321762131036,22.02429718405468,25.70983825284989
12055,FL,Highlands,Southeast,36864.0,11,53,2,28.4,7,white_not_hispanic_2017,44,52,14.65211493709322,37.17659942506565,30.63703224361288
51031,VA,Campbell,Southeast,49935.0,10,38,1,30.1,6,white_not_hispanic_2017,37,28,11.20540743522343,33.50356740518212,31.79872324446114
47059,TN,Greene,Ohio Valley,40855.0,13,45,1,32.8,1,white_not_hispanic_2017,43,40,15.52837240910635,42.65555355679479,25.75803002138674
48039,TX,Brazoria,South,74510.0,31,147,10,33.0,27,white_not_hispanic_2017,216,192,11.15916703677109,25.02666827160545,32.72746894235918
51550,VA,Chesapeake,Southeast,71998.0,28,105,7,30.1,31,white_not_hispanic_2017,193,190,6.776432250990768,23.71414395707382,34.91488879496744
8043,CO,Fremont,Southwest,46372.0,5,12,1,22.6,3,white_not_hispanic_2017,17,31,10.68692064512672,38.69152869313615,32.13577667041741
