FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
45057,SC,Lancaster,Southeast,53421.0,24,47,2,34.1,8,White & Not Hispanic,47,46,12.72042508466659,28.53701973607381,30.21575382459418,With some college or associate's degree
8069,CO,Larimer,Southwest,66561.0,36,86,9,22.6,55,White & Not Hispanic,271,298,3.814322008353787,18.61861085992335,29.87469319209404,With some college or associate's degree
45021,SC,Cherokee,Southeast,38273.0,9,42,1,34.1,3,White & Not Hispanic,38,35,18.5251102685135,36.2377157006887,30.85454873739328,With a high school diploma only
26163,MI,Wayne,Upper Midwest,43570.0,405,859,33,32.3,110,White & Not Hispanic,1253,1110,12.84350478260943,29.22092499227795,32.70074384894144,With some college or associate's degree
45043,SC,Georgetown,Southeast,47842.0,15,46,1,34.1,2,White & Not Hispanic,42,90,10.82929977412068,27.13993761428418,32.31364956437561,With some college or associate's degree
37129,NC,New Hanover,Southeast,51373.0,49,88,5,32.1,28,White & Not Hispanic,227,270,6.77031313797544,19.9020069725808,31.09645403436038,With some college or associate's degree
21227,KY,Warren,Ohio Valley,47253.0,19,49,4,34.3,13,White & Not Hispanic,97,96,11.70398243963625,26.78958921291941,29.2793979303857,With some college or associate's degree
34031,NJ,Passaic,Northeast,61517.0,243,111,2,27.3,46,White & Not Hispanic,347,399,15.50935277201739,33.71845627642671,21.23951534955817,With a high school diploma only
18041,IN,Fayette,Ohio Valley,44673.0,3,11,1,33.6,2,White & Not Hispanic,23,14,16.53762774852896,44.4781666150511,24.20563641994426,With a high school diploma only
55081,WI,Monroe,Upper Midwest,56400.0,5,23,2,32.0,2,White & Not Hispanic,24,34,9.247518411783542,35.59398014729427,33.82965097662504,With a high school diploma only
37047,NC,Columbus,Southeast,35290.0,16,36,1,32.1,1,White & Not Hispanic,46,29,16.01800976800977,37.63227513227513,33.45797720797721,With a high school diploma only
12009,FL,Brevard,Southeast,51214.0,80,299,12,28.4,55,White & Not Hispanic,375,507,7.815050723770516,26.7048854227583,34.56735209047865,With some college or associate's degree
19049,IA,Dallas,Upper Midwest,82123.0,13,35,2,36.4,11,White & Not Hispanic,48,57,4.458039003616453,18.35603474498935,26.72119511947815,With some college or associate's degree
18169,IN,Wabash,Ohio Valley,51561.0,7,16,1,33.6,3,White & Not Hispanic,27,18,10.28616703952274,42.93903803131991,27.86633109619687,With a high school diploma only
40027,OK,Cleveland,South,61275.0,52,83,7,36.5,28,White & Not Hispanic,223,172,7.767323444764224,24.39118884215187,33.57538189063538,With some college or associate's degree
55025,WI,Dane,Upper Midwest,70815.0,80,169,5,32.0,114,White & Not Hispanic,437,469,3.813333556498428,17.27046772614295,26.49276526658466,With some college or associate's degree
1043,AL,Cullman,Southeast,41543.0,15,53,2,36.3,4,White & Not Hispanic,63,43,17.73638179188761,32.27566971971627,34.5723435025136,With some college or associate's degree
20161,KS,Riley,South,49901.0,8,23,1,32.4,3,White & Not Hispanic,49,44,3.817220021797496,16.41989420239772,32.54738297137084,With some college or associate's degree
29215,MO,Texas,Ohio Valley,33879.0,5,10,1,32.5,1,White & Not Hispanic,10,22,15.6315499172642,39.21125206839493,30.38610038610038,With a high school diploma only
13223,GA,Paulding,Southeast,65480.0,12,51,4,31.6,12,White & Not Hispanic,64,64,9.525360026792692,30.59018345551297,35.9896550440963,With some college or associate's degree
36077,NY,Otsego,Northeast,50034.0,18,47,2,25.7,5,White & Not Hispanic,35,81,7.35441014883628,30.68874238337828,28.58605533912696,With a high school diploma only
51013,VA,Arlington,Southeast,108635.0,46,64,1,30.1,49,White & Not Hispanic,227,268,5.054989116737312,7.897811891396494,11.21147897811891,With some college or associate's degree
48005,TX,Angelina,South,43658.0,11,31,2,33.0,7,White & Not Hispanic,71,37,16.99080776543232,30.75822853255656,34.06708412551674,With some college or associate's degree
21013,KY,Bell,Ohio Valley,26014.0,6,10,1,34.3,3,White & Not Hispanic,24,10,26.04857693130751,42.06077466295742,22.39995720094158,With a high school diploma only
17001,IL,Adams,Ohio Valley,51130.0,11,28,2,31.1,9,White & Not Hispanic,34,54,7.808207230386813,34.39884872007326,32.58471065370023,With a high school diploma only
55113,WI,Sawyer,Upper Midwest,44180.0,5,11,1,32.0,1,White & Not Hispanic,8,47,7.854375201808201,32.95124313852115,34.33161123668066,With some college or associate's degree
28049,MS,Hinds,South,42903.0,27,153,4,37.3,21,Black,234,106,11.84660318790847,23.78554308391508,34.15541381252374,With some college or associate's degree
55027,WI,Dodge,Upper Midwest,56949.0,12,39,1,32.0,6,White & Not Hispanic,36,50,8.795002981888949,40.19272419096644,33.01735773250887,With a high school diploma only
6071,CA,San Bernardino,West,56194.0,309,481,18,25.1,125,Hispanic,1526,1101,19.29688265104021,26.4046487628976,32.94045508295829,With some college or associate's degree
47115,TN,Marion,Ohio Valley,42348.0,4,27,1,32.8,2,White & Not Hispanic,21,18,19.04599160238258,40.20603456693682,28.26872375744556,With a high school diploma only
29099,MO,Jefferson,Ohio Valley,61508.0,23,86,4,32.5,16,White & Not Hispanic,131,101,9.81839183725855,32.2492459731759,36.83180388885324,With some college or associate's degree
26043,MI,Dickinson,Upper Midwest,46094.0,6,13,1,32.3,4,White & Not Hispanic,20,21,5.268517525994212,33.21899453317612,37.09936756351163,With some college or associate's degree
55055,WI,Jefferson,Upper Midwest,60744.0,13,36,2,32.0,10,White & Not Hispanic,47,66,7.959719048827959,32.51925192519252,32.83574511297284,With some college or associate's degree
6115,CA,Yuba,West,46054.0,10,23,1,25.1,4,White & Not Hispanic,29,27,17.82518082628417,23.80572923051776,40.35797474561726,With some college or associate's degree
47117,TN,Marshall,Ohio Valley,50014.0,4,22,1,32.8,3,White & Not Hispanic,22,10,12.72368364588251,40.00343303437326,31.0389220272068,With a high school diploma only
