FIPS,State,County,Climate Region,MEDHINC16,GROC16,CONVS16,SUPERC16,PCT_OBESE_ADULTS17,RECFAC16,largest_group,FFR16,FSR16,PCTADTLHS16_20,PCTADTWHS16_20,PCTADTWC16_20,highest_education_pct
29021,MO,Buchanan,Ohio Valley,47517,10,39,3,32.5,8,White & Not Hispanic,75,57,11.18677531,37.27475028,29.6585072,HS Diploma
37051,NC,Cumberland,Southeast,45286,50,172,9,32.1,27,White & Not Hispanic,277,213,8.465312923,26.39222617,39.53320396,College Degree
40065,OK,Jackson,South,44211,1,13,1,36.5,3,White & Not Hispanic,18,18,14.315197,28.98061288,34.4590369,College Degree
27091,MN,Martin,Upper Midwest,48326,3,12,1,28.4,4,White & Not Hispanic,15,13,6.409617984,35.56946717,36.32353987,College Degree
18179,IN,Wells,Ohio Valley,56054,2,9,1,33.6,1,White & Not Hispanic,12,14,7.754179371,40.3269898,33.20365892,HS Diploma
18071,IN,Jackson,Ohio Valley,51871,8,26,1,33.6,3,White & Not Hispanic,34,27,11.19765661,40.5265961,30.40410093,HS Diploma
54107,WV,Wood,Ohio Valley,46737,11,44,3,38.1,10,White & Not Hispanic,81,59,9.051373558,33.88496971,35.1000083,College Degree
13275,GA,Thomas,Southeast,40199,7,45,1,31.6,6,White & Not Hispanic,39,32,13.92425834,31.00223156,30.95300604,HS Diploma
28029,MS,Copiah,South,34450,5,27,1,37.3,1,White & Not Hispanic,17,10,15.88497453,34.69333616,32.6188455,HS Diploma
37159,NC,Rowan,Southeast,47971,22,79,1,32.1,11,White & Not Hispanic,83,95,14.05037566,32.60561646,33.49960997,College Degree
51057,VA,Essex,Southeast,50033,2,10,1,30.1,1,White & Not Hispanic,11,14,17.21019108,35.82165605,30.75159236,HS Diploma
51153,VA,Prince William,Southeast,97549,64,122,11,30.1,54,White & Not Hispanic,295,259,10.823078,19.8981263,27.36117703,College Degree
55023,WI,Crawford,Upper Midwest,46698,5,9,1,32,1,White & Not Hispanic,9,15,8.190022135,39.23888983,33.62846927,HS Diploma
55097,WI,Portage,Upper Midwest,55064,8,27,1,32,9,White & Not Hispanic,43,70,5.917547384,31.93073631,28.72084898,HS Diploma
31141,NE,Platte,Northern Rockies & Plains,59288,5,21,1,32.8,5,White & Not Hispanic,23,19,9.972160102,29.64264525,37.00424444,College Degree
36043,NY,Herkimer,Northeast,49633,10,27,1,25.7,5,White & Not Hispanic,39,62,9.352419281,36.76026708,32.763194,HS Diploma
47011,TN,Bradley,Ohio Valley,45326,14,80,2,32.8,10,White & Not Hispanic,75,59,12.92619266,32.26560258,31.31858371,HS Diploma
17075,IL,Iroquois,Ohio Valley,47589,8,13,1,31.1,1,White & Not Hispanic,17,17,11.9160078,39.40342951,33.2785707,HS Diploma
23019,ME,Penobscot,Northeast,47076,30,113,4,29.1,15,White & Not Hispanic,85,118,7.127623233,33.42227475,30.87128731,HS Diploma
20133,KS,Neosho,South,42441,4,6,1,32.4,2,White & Not Hispanic,6,11,8.026010218,32.28982815,39.68416163,College Degree
42083,PA,McKean,Northeast,43082,12,25,1,31.6,2,White & Not Hispanic,28,31,8.221241058,46.82205565,26.00198515,HS Diploma
12105,FL,Polk,Southeast,46289,87,317,11,28.4,38,White & Not Hispanic,308,298,14.56381751,33.74108406,31.1073909,HS Diploma
48141,TX,El Paso,South,42048,116,241,16,33,70,Hispanic,601,536,21.04581418,23.15739725,31.76885196,College Degree
18173,IN,Warrick,Ohio Valley,65809,8,17,2,33.6,7,White & Not Hispanic,30,29,5.867376461,28.53836362,32.6165953,College Degree
53005,WA,Benton,Northwest,63474,29,66,5,27.7,24,White & Not Hispanic,114,132,8.978950194,23.60568997,35.8299145,College Degree
6101,CA,Sutter,West,51283,21,40,2,25.1,8,White & Not Hispanic,59,54,20.17057164,23.03034146,36.76801623,College Degree
